Boulanger Mantes Buchelay;Boulanger Mantes Buchelay;Actif;6, Rue de l'Aveyron ZAC des Closeaux Face à Leroy Merlin;;78200;Mantes La Jolie;48.9873516886131;1.6762054441528562;Societe;347384570 ;34738457000565 ;Prospect;;;;;;F178;Ouvert
Boulanger Massy;Boulanger Massy;Actif;Centre Commercial CORA (Voie de Briis);Accès par l'A86, la N118, l'A6, l'A10 et la N20;91300;Massy;48.7247314453125;2.27383422851562;Societe;347384570 ;34738457000631 ;Prospect;;;;;;F181;Ouvert
Boulanger Lognes;Boulanger Lognes;Actif;Allée des palombes;Centre Commercial Valorée;77185;Lognes;48.83209390511617;2.6402039068343583;Societe;347384570 ;34738457000680 ;Prospect;;;;;;F182;Ouvert
Boulanger Pontault-Combault;Boulanger Pontault-Combault;Actif;Centre Commercial;;77340;Pontault-Combault;48.77654340192322;2.5886294178467324;Societe;347384570 ;34738457001837 ;Prospect;;;;;;F183;Ouvert
Boulanger Osny;Boulanger Osny;Actif;Centre Commercial de L'Oseraie;;95520;Osny;49.07577287196118;2.077176094055176;Societe;347384570 ;34738457000904 ;Prospect;;;;;;F184;Ouvert
Boulanger Troyes;Boulanger Troyes;Actif;Avenue du Général de Gaulle;Centre Commercial E. Leclerc;10410;Saint Parres Aux Tertres;48.29806318716338;4.128547668457031;Societe;347384570 ;34738457000805 ;Prospect;;;;;;F185;Ouvert
Boulanger Creil;Boulanger Creil;Actif;ZAC du bois des fenêtres;;60740;St Maximin;49.2218017578125;2.44940185546875;Societe;347384570 ;34738457000912 ;Prospect;;;;;;F188;Ouvert
Boulanger Ste Genevieve Des Bois;Boulanger Ste Genevieve Des Bois;Actif;17 rue des Petits Champs;;91700;Sainte Genevieve Des Bois;48.62212190708254;2.345341682434082;Societe;347384570 ;34738457001522 ;Prospect;;;;;;F189;Ouvert
Boulanger Orgeval;Boulanger Orgeval;Actif;Chemin aux boeufs -  route des 40 sous;;78630;Orgeval;48.9286118988953;1.9839259703445578;Societe;347384570 ;34738457001043 ;Prospect;;;;;;F191;Ouvert
Boulanger Gennevilliers;Boulanger Gennevilliers;Actif;112 Avenue du Général de Gaulle;"Parc des ""Chanteraines""";92230;Gennevilliers;48.93370986380684;2.3169659552947905;Societe;347384570 ;34738457001332 ;Prospect;;;;;;F192;Ouvert
Boulanger Angoulême - Champniers;Boulanger Angoulême - Champniers;Actif;ZAC des Montagnes Ouest;;16430;Champniers;45.68983375480929;0.17276899975581728;Societe;347384570 ;34738457002041 ;Prospect;;;;;;F195;Ouvert
Boulanger Libourne;Boulanger Libourne;Actif;116 avenue du général de gaulle;Centre commercial Carrefour;33500;Libourne Bordeaux;44.900020866879;-0.21891376403198137;Societe;347384570 ;34738457000797 ;Prospect;;;;;;F203;Ouvert
Boulanger Nantes Rezé;Boulanger Nantes Rezé;Actif;Rue Marc Elder;Zone Commerciale Atout Sud;44400;Rezé;47.1950705108174;-1.5725074983947707;Societe;347384570 ;34738457000201 ;Prospect;;;;;;F204;Ouvert
Boulanger Bordeaux - Le Lac;Boulanger Bordeaux - Le Lac;Actif;avenue des 40 journaux;Centre Commercial Auchan BORDEAUX Lac;33300;Bordeaux;44.87801029440827;-0.5678085632174543;Societe;347384570 ;34738457000151 ;Prospect;;;;;;F205;Ouvert
Boulanger Bordeaux - Merignac;Boulanger Bordeaux - Merignac;Actif;2, Rue Jacques Anquetil;;33700;Merignac;44.830695810445114;-0.6590616666869664;Societe;347384570 ;34738457000144 ;Prospect;;;;;;F206;Ouvert
Boulanger Nantes Atlantis - St Herblain;Boulanger Nantes Atlantis - St Herblain;Actif;Centre Commercial Leclerc;A côté de Décathlon;44800;St Herblain;47.22326940394091;-1.6278400421142578;Societe;347384570 ;34738457000516 ;Prospect;;;;;;F208;Ouvert
Boulanger Toulouse - Portet Sur Garonne;Boulanger Toulouse - Portet Sur Garonne;Actif;Boulevard de l'Europe;Centre Commercial Carrefour Grand Portet;31120;Portet Sur Garonne;43.531538248094016;1.4031908512115479;Societe;347384570 ;34738457001886 ;Prospect;;;;;;F209;Ouvert
Boulanger Montauban;Boulanger Montauban;Actif;Zone Futuropole Aussonne;;82000;Montauban;44.038920452071125;1.38527061862942;Societe;347384570 ;34738457001282 ;Prospect;;;;;;F213;Ouvert
Boulanger Nantes Paridis;Boulanger Nantes Paridis;Actif;"Centre Commercial Leclerc ""Paridis""";Route de PARIS;44300;Nantes;47.24813417732291;-1.513176887796817;Societe;347384570 ;34738457000524 ;Prospect;;;;;;F214;Ouvert
Boulanger Vannes;Boulanger Vannes;Actif;Espace Kerthomas;;56000;Vannes;47.66304706409207;-2.7956165316863917;Societe;347384570 ;34738457001100 ;Prospect;;;;;;F215;Ouvert
Boulanger Saint Brieuc;Boulanger Saint Brieuc;Actif;2, rue Jacques Cartier;Zone Commerciale CARREFOUR;22360;Langueux;48.494140625;-2.71444702148438;Societe;347384570 ;34738457000839 ;Prospect;;;;;;F216;Ouvert
Boulanger Caen Mondeville;Boulanger Caen Mondeville;Actif;Centre Commercial Carrefour;;14120;Mondeville;49.1619934852406;-0.2942987431945312;Societe;347384570 ;34738457001720 ;Prospect;;;;;;F217;Ouvert
Boulanger La Roche Sur Yon;Boulanger La Roche Sur Yon;Actif;41, rue Yitzhac Rabin;ROUTE DE NANTES;85000;La Roche Sur Yon;46.692138671875;-1.42996597290039;Societe;347384570 ;34738457001738 ;Prospect;;;;;;F219;Ouvert
Boulanger  Angers Atoll;Boulanger  Angers Atoll;Actif;Centre commercial Atoll;Ecoparc du buisson;49070;Beaucouze;47.48502677230513;-0.6276912689208984;Societe;347384570 ;34738457001811 ;Prospect;;;;;;F220;Ouvert
Boulanger Pau - Lescar;Boulanger Pau - Lescar;Actif;Rue Flandres-Dunkerque - RN 117;ZAC Monhauba;64230;Lescar;43.32089546289086;-0.435448403179862;Societe;347384570 ;34738457000755 ;Prospect;;;;;;F222;Ouvert
Boulanger Rennes - Chantepie;Boulanger Rennes - Chantepie;Actif;Parc d'activité Rocade Sud - Allée de Guerlédan;Face à Leroy Merlin;35135;Chantepie;48.08472519200993;-1.633474349975586;Societe;347384570 ;34738457000813 ;Prospect;;;;;;F223;Ouvert
Boulanger Le Mans;Boulanger Le Mans;Actif;154 rue Louis Delage;ZA Nord;72650;La Chapelle St Aubin;48.038102461004264;0.1706256866455078;Societe;347384570 ;34738457001084 ;Prospect;;;;;;F224;Ouvert
Boulanger Lorient;Boulanger Lorient;Actif;Zone de Kérulvé - C.Cial Carrefour;17 rue de l'étang;56100;Lorient;47.76847640048291;-3.3957151568054087;Societe;347384570 ;34738457001829 ;Prospect;;;;;;F227;Ouvert
