"societe";"ref";"date";"produit";"date2";"compte_absystech_before";"compte_absystech_after";"type";"quantite";"prix";"id_facture_ligne";"type_facture"
"ARASSOC - FOYER DE VIE DE BACOUEL";"AFLI19070125";02/07/2019;"Contrat de maintenance - Tarif mensuel : 98 ¤ HT";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.00";"98.00";46085;"facture_periodique"
"ARASSOC Picardie";"AFLI19070126";02/07/2019;"Maintenance mensuelle - Engagement sur 36 mois (renouvelable)  [Remise de 15% incluse]";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.00";"42.00";46087;"facture_periodique"
"Cap Recouvrement";"AFLI19070127";02/07/2019;"Contrat de maintenance IPBX";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.00";"32.00";46089;"facture_periodique"
"CGRM";"AFLI19070128";02/07/2019;"Contrat de maintenance, tarif mensuel : 153 euros HT";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.00";"153.00";46092;"facture_periodique"
"CGRM";"AFLI19070128";02/07/2019;"Maintenance mensuelle du Mitel 6869i (ADLI19040044)";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.00";"1.00";46093;"facture_periodique"
"DESIGN D'O";"AFLI19070129";02/07/2019;"Maintenance mensuelle";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.00";"21.00";46103;"facture_periodique"
"EBS LE RELAIS NORD PAS DE CALAIS";"AFLI19070130";02/07/2019;"Contrat de maintenance - Tarif mensuel : 24.50 Euros HT";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.00";"24.50";46105;"facture_periodique"
"ECKLIPSE";"AFLI19070131";02/07/2019;"Contrat de maintenance de votre solution de téléphonie : 35 ¤ HT par mois";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.00";"35.00";46107;"facture_periodique"
"Etude de Maître Merlin";"AFLI19070132";02/07/2019;"Contrat de maintenance - Tarif mensuel : 29 Euros HT";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.00";"29.00";46109;"facture_periodique"
"FACDEM";"AFLI19070133";02/07/2019;"Contrat de maintenance - Tarif mensuel : 99 Euros HT";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.00";"99.00";46111;"facture_periodique"
"Imagerie Medicale Jacquemars GIELÉE";"AFLI19070134";02/07/2019;"Contrat de maintenance - Tarif mensuel : 65 Euros HT";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.00";"65.00";46114;"facture_periodique"
